Book,StartChapter,StartVerse,EndChapter,EndVerse,EndBook,WIP,Favorite
40,7,1,7,1,None,0,False
1,1,1,1,1,None,1,False
21,10,19,10,19,None,1,False
45,1,22,1,22,None,1,True
46,10,31,10,31,None,1,True
33,6,8,6,8,None,0,False
43,3,16,3,16,None,1,True
20,4,23,4,23,,0,False
20,3,5,3,6,,0,False
24,9,24,9,24,,0,False
20,19,17,19,17,,0,False
59,4,13,4,17,,0,False
58,4,14,4,16,,0,False
45,12,1,12,3,,0,False
18,26,10,26,10,,0,False
43,14,6,14,6,,0,True
45,8,18,8,18,,0,False
65,1,24,1,25,,0,False
50,4,8,4,9,,0,False
48,6,9,6,10,,0,True
